,total_ce,avg_ce
0,205.5,5.826455991281674
1,206.625,5.705567757730775
2,197.45833333333334,5.531302821124577
3,197.20833333333334,5.621597791931322
4,205.16666666666666,6.073618264933903
5,198.875,5.776081627887578
6,207.5,5.511243699366726
7,206.75,5.944884589305602
8,199.45833333333334,5.823247533583047
9,199.125,5.656766358423184
10,193.75,5.593452855048251
11,210.625,5.80684720563151
12,199.41666666666666,5.650875596240155
13,203.66666666666666,5.628200885714029
14,194.08333333333334,5.6616474621421204
15,195.33333333333334,5.802322931138119
16,197.20833333333334,5.578240333270078
17,205.66666666666666,5.7789909436543425
18,216.04166666666666,6.04256226611663
19,192.16666666666666,5.624393146093502
20,203.58333333333334,5.831510765120913
21,196.41666666666666,5.821262199403589
22,203.79166666666666,5.78319105932846
23,208.45833333333334,5.859703458688749
24,188.58333333333334,5.65250900357277
25,207.83333333333334,5.931853461982757
26,207.5,5.789902596648069
27,203.66666666666666,5.793368733465662
28,201.625,5.700501569239765
29,209.04166666666666,5.76558404608733
